trade_date,code,name,total_score,source,entry_price,buy_date,buy_price,sell_date,sell_price,profit_rate,stop_reason,sh_change,consecutive_loss
20260513,002409,雅克科技,61.0,涨停热点,103.25,20260514,107.0,20260515,108.97,0.0184,,-0.13,0
20260514,002165,红 宝 丽,62.0,涨停热点,9.39,20260515,9.42,20260518,9.7,0.0297,,-1.52,0
20260515,002971,和远气体,61.0,涨停热点,41.21,20260518,41.0,20260519,37.93,-0.0749,,-1.02,0
20260518,000021,深科技,65.0,涨停热点,37.03,20260519,37.03,20260520,38.38,0.0365,,-0.09,1
20260519,603989,艾华集团,64.0,涨停热点,24.2,20260520,24.76,20260521,25.6,0.0339,,0.92,0
20260520,603005,晶方科技,62.0,涨停热点,36.8,20260521,40.45,20260522,36.1,-0.1075,,-0.18,0
20260521,600360,华微电子,55.0,涨停热点,12.07,20260522,11.78,20260525,11.85,0.0059,,-2.04,1
20260522,000510,新金路,66.0,涨停热点,14.94,20260525,15.62,20260526,16.55,0.0595,,0.87,0
20260525,002185,华天科技,71.0,涨停热点,16.97,20260526,18.67,20260527,19.75,0.0578,,0.96,0
20260526,002579,中京电子,58.0,涨停热点,15.04,20260527,16.54,20260528,16.85,0.0187,,-0.17,0
20260527,002971,和远气体,70.0,涨停热点,35.09,20260528,35.08,20260529,34.46,-0.0177,,-1.25,0
20260528,600206,有研新材,65.0,涨停热点,30.94,20260529,31.0,20260601,28.5,-0.0806,,0.12,1
20260529,600857,宁波中百,65.0,涨停热点,15.51,20260601,14.94,20260602,15.5,0.0375,,-0.73,2
20260601,603341,龙旗科技,69.0,涨停热点,37.91,20260602,40.0,20260603,38.5,-0.0375,,-0.27,0
20260602,002137,实益达,62.0,涨停热点,9.45,20260603,10.16,20260604,10.21,0.0049,,0.43,1
20260603,002965,祥鑫科技,61.0,涨停热点,35.5,20260604,36.0,20260605,36.67,0.0186,,0.22,0
20260604,003043,华亚智能,63.0,涨停热点,67.57,20260605,67.41,20260608,67.93,0.0077,,-0.64,0
20260605,002631,德尔未来,64.0,涨停热点,7.45,20260608,7.2,20260609,8.08,0.1222,,-0.74,0
20260608,002407,多氟多,49.0,大成交,33.63,20260609,33.63,20260610,33.2,-0.0128,,-1.7,0
20260609,002167,东方锆业,53.0,大阳线,13.9,20260610,14.11,20260611,13.73,-0.0269,,1.28,1
20260610,600206,有研新材,66.0,涨停热点,32.24,20260611,32.43,20260612,35.7,0.1008,,-0.42,2
20260611,603991,领先股份,73.0,涨停热点,120.21,20260612,123.93,20260615,123.77,-0.0013,,-0.16,0
20260612,000759,中百集团,68.0,涨停热点,5.83,20260615,5.88,20260616,5.93,0.0085,,1.12,1
20260615,002990,盛视科技,70.0,涨停热点,49.46,20260616,52.52,20260617,55.93,0.0649,,1.61,0
20260616,002990,盛视科技,59.0,涨停热点,54.41,20260617,55.93,20260618,55.02,-0.0163,,-0.11,0
20260617,002579,中京电子,57.0,涨停热点,18.47,20260618,19.01,20260619,19.01,0.0,,0.4,1
20260618,603956,威派格,74.0,涨停热点,4.98,20260622,4.98,20260623,5.17,0.0382,,-0.43,1
