选股日,代码,名称,收益率%,总分,分组,趋势分,资金分,板块分,筹码分,大盘分,买入日,买入价,卖出日,卖出价,高开%,来源,结果
20260513,002825,纳尔股份,-4.18,60.0,B,10,25,6,9,10,20260514,11.24,20260515,10.77,+2.09,涨停热点,❌
20260513,002409,雅克科技,1.84,61.0,B,4,21,11,-2,10,20260514,107.00,20260515,108.97,+3.63,涨停热点,✅
20260514,002165,红 宝 丽,2.97,62.0,B,10,22,10,10,10,20260515,9.42,20260518,9.70,+0.32,涨停热点,✅
20260514,002971,和远气体,11.44,61.0,B,4,22,10,-2,10,20260515,36.79,20260518,41.00,-1.79,涨停热点,✅
20260515,002971,和远气体,-7.49,61.0,B,4,20,10,2,10,20260518,41.00,20260519,37.93,-0.51,涨停热点,❌
20260518,000571,新大洲A,0.85,61.0,B,10,25,3,5,10,20260519,5.91,20260520,5.96,+1.20,涨停热点,✅
20260518,002552,宝鼎科技,0.36,60.0,B,1,22,10,2,10,20260519,38.39,20260520,38.53,+8.63,涨停热点,✅
20260519,603989,艾华集团,3.39,64.0,B,1,24,12,2,10,20260520,24.76,20260521,25.60,+2.31,涨停热点,✅
20260519,000636,风华高科,4.09,63.0,B,4,22,12,-3,10,20260520,33.50,20260521,34.87,+3.49,涨停热点,✅
20260520,603005,晶方科技,-10.75,62.0,B,4,25,15,-6,10,20260521,40.45,20260522,36.10,+9.92,涨停热点,❌
20260520,603986,兆易创新,0.67,62.0,B,1,21,15,-6,10,20260521,445.02,20260522,448.00,+0.00,涨停热点,✅
20260522,002463,沪电股份,1.55,64.0,B,5,22,12,-2,10,20260525,121.02,20260526,122.90,+6.09,涨停热点,✅
20260522,600172,黄河旋风,10.78,61.0,B,-5,19,10,7,10,20260525,11.50,20260526,12.74,+4.64,涨停热点,✅
20260522,603186,华正新材,1.60,60.0,B,1,22,12,-3,10,20260525,124.00,20260526,125.99,+0.13,涨停热点,✅
20260522,600888,新疆众和,0.93,60.0,B,4,23,6,2,10,20260525,10.74,20260526,10.84,+4.17,涨停热点,✅
20260525,600584,长电科技,4.22,64.0,B,1,21,17,-2,10,20260526,83.00,20260527,86.50,+3.53,涨停热点,✅
20260525,002409,雅克科技,-0.43,63.0,B,1,20,17,-2,10,20260526,125.54,20260527,125.00,-2.04,涨停热点,❌
20260525,002552,宝鼎科技,7.60,60.0,B,1,24,10,-3,10,20260526,44.61,20260527,48.00,+1.85,涨停热点,✅
20260528,603757,大元泵业,-6.80,63.0,B,-5,19,12,7,10,20260529,58.50,20260601,54.52,+0.34,涨停热点,❌
20260528,600360,华微电子,-4.74,61.0,B,5,25,11,2,10,20260529,12.65,20260601,12.05,+3.01,涨停热点,❌
