选股日,代码,名称,收益率%,总分,分组,趋势分,资金分,板块分,筹码分,大盘分,买入日,买入价,卖出日,卖出价,来源
20260518,000021,深科技,3.65,65.0,C,4,25,11,-3,10,20260519,37.03,20260520,38.38,涨停热点
20260522,000510,新金路,5.95,66.0,C,-5,25,6,10,10,20260525,15.62,20260526,16.55,涨停热点
20260525,002185,华天科技,5.78,71.0,D,4,25,17,-3,10,20260526,18.67,20260527,19.75,涨停热点
20260525,003036,泰坦股份,3.69,66.0,C,4,25,10,2,10,20260526,57.98,20260527,60.12,涨停热点
20260527,002971,和远气体,-1.77,70.0,D,-5,25,3,17,10,20260528,35.08,20260529,34.46,涨停热点
20260528,600206,有研新材,-8.06,65.0,C,8,19,11,2,10,20260529,31.00,20260601,28.50,涨停热点
20260529,600857,宁波中百,3.75,65.0,C,4,22,12,2,10,20260601,14.94,20260602,15.50,涨停热点
20260601,603341,龙旗科技,-3.75,69.0,C,-5,22,17,5,10,20260602,40.00,20260603,38.50,涨停热点
20260610,002409,雅克科技,10.93,66.0,C,7,17,17,-3,10,20260611,126.22,20260612,140.01,涨停热点
20260610,600206,有研新材,10.08,66.0,C,3,21,17,-2,10,20260611,32.43,20260612,35.70,涨停热点
20260611,603991,领先股份,-0.13,73.0,D,-6,21,17,10,10,20260612,123.93,20260615,123.77,涨停热点
20260612,000759,中百集团,0.85,68.0,C,14,21,3,5,10,20260615,5.88,20260616,5.93,涨停热点
20260615,002635,安洁科技,4.34,65.0,C,-5,19,15,13,10,20260616,17.52,20260617,18.28,涨停热点
20260615,002990,盛视科技,6.49,70.0,D,-5,25,6,14,10,20260616,52.52,20260617,55.93,涨停热点
20260615,600520,三佳科技,1.72,65.0,C,-5,21,12,14,10,20260616,29.58,20260617,30.09,涨停热点
20260618,600671,天目药业,4.71,69.0,C,10,18,6,10,10,20260622,17.84,20260623,18.68,涨停热点
20260618,603956,威派格,3.82,74.0,D,-5,19,13,17,10,20260622,4.98,20260623,5.17,涨停热点
20260622,600470,六国化工,4.71,76.0,D,11,23,10,14,10,20260623,6.16,20260624,6.45,涨停热点
20260623,001225,和泰机电,-3.93,65.0,C,-5,25,13,17,10,20260624,45.80,20260625,44.00,涨停热点
20260623,600488,津药药业,-0.62,71.0,D,-5,22,15,9,10,20260624,4.87,20260625,4.84,涨停热点
20260623,603669,灵康药业,-4.40,66.0,C,4,21,15,1,10,20260624,5.68,20260625,5.43,涨停热点
20260629,000566,海南海药,5.60,79.0,D,4,25,12,13,10,20260630,4.64,20260701,4.90,涨停热点
20260629,000756,新华制药,3.12,71.0,D,-5,16,12,18,10,20260630,13.46,20260701,13.88,涨停热点
20260629,002038,双鹭药业,2.46,66.0,C,-5,19,12,10,10,20260630,5.68,20260701,5.82,涨停热点
20260629,002437,誉衡药业,-1.82,68.0,C,-5,22,12,9,10,20260630,2.75,20260701,2.70,涨停热点
20260629,002728,特一药业,1.79,72.0,D,7,16,10,14,10,20260630,8.95,20260701,9.11,涨停热点
20260629,600488,津药药业,-1.23,67.0,C,-5,22,12,8,10,20260630,4.89,20260701,4.83,涨停热点
20260701,603538,美诺华,11.61,68.0,C,-5,25,15,10,10,20260702,38.25,20260703,42.69,涨停热点
20260708,002490,山东墨龙,-0.68,70.0,D,-5,25,3,17,10,20260709,7.36,20260710,7.31,涨停热点
20260708,603296,华勤技术,6.44,68.0,C,-5,22,11,17,10,20260709,76.72,20260710,81.66,涨停热点
20260709,002490,山东墨龙,5.34,65.0,C,-5,25,6,16,10,20260710,7.31,20260713,7.70,涨停热点
20260710,603538,美诺华,0.65,71.0,D,-5,19,10,17,10,20260713,31.00,20260714,31.20,涨停热点
20260715,000566,海南海药,6.97,65.0,C,-5,25,15,7,10,20260716,5.31,20260717,5.68,涨停热点
20260715,000722,湖南发展,0.83,67.0,C,-5,19,6,17,10,20260716,12.08,20260717,12.18,涨停热点
20260717,000037,深南电A,6.52,67.0,C,-5,25,12,12,10,20260720,9.20,20260721,9.80,涨停热点
20260720,000767,晋控电力,-1.82,68.0,C,-5,22,15,13,10,20260721,3.85,20260722,3.78,涨停热点
20260720,600744,华银电力,-1.71,67.0,C,-5,24,15,10,10,20260721,7.00,20260722,6.88,涨停热点
20260721,000021,深科技,2.10,66.0,C,-5,18,11,12,10,20260722,39.43,20260723,40.26,涨停热点
20260721,000603,盛达资源,12.26,69.0,C,-5,21,6,17,10,20260722,20.88,20260723,23.44,涨停热点
20260721,002008,大族激光,1.96,65.0,C,-5,20,6,14,10,20260722,104.45,20260723,106.50,涨停热点
20260721,002138,顺络电子,-0.43,70.0,D,-5,23,10,12,10,20260722,43.97,20260723,43.78,涨停热点
20260721,002213,大为股份,7.58,77.0,D,-5,23,17,12,10,20260722,25.98,20260723,27.95,涨停热点
20260721,002273,水晶光电,-1.27,74.0,D,-5,22,10,17,10,20260722,27.56,20260723,27.21,涨停热点
20260721,002409,雅克科技,3.80,76.0,D,-5,25,17,9,10,20260722,146.42,20260723,151.98,涨停热点
20260721,002484,江海股份,-0.37,65.0,C,-5,21,10,9,10,20260722,72.55,20260723,72.28,涨停热点
20260721,002669,康达新材,-2.11,66.0,C,-5,18,6,17,10,20260722,11.38,20260723,11.14,涨停热点
20260721,002745,木林森,2.20,72.0,D,-5,20,10,17,10,20260722,10.93,20260723,11.17,涨停热点
20260721,600206,有研新材,4.23,69.0,C,-5,15,17,12,10,20260722,39.45,20260723,41.12,涨停热点
20260721,600330,天通股份,2.57,66.0,C,-5,18,6,17,10,20260722,19.04,20260723,19.53,涨停热点
20260721,600460,士兰微,2.59,75.0,D,-5,21,17,12,10,20260722,32.87,20260723,33.72,涨停热点
20260721,600552,凯盛科技,2.85,72.0,D,-5,23,10,14,10,20260722,16.15,20260723,16.61,涨停热点
20260721,600641,先导基电,3.03,73.0,D,-5,19,17,12,10,20260722,31.00,20260723,31.94,涨停热点
20260721,603005,晶方科技,2.83,74.0,D,-5,18,17,14,10,20260722,31.10,20260723,31.98,涨停热点
20260721,603061,金海通,-0.73,68.0,C,-5,17,17,9,10,20260722,322.00,20260723,319.66,涨停热点
20260721,603306,华懋科技,-0.20,69.0,C,-5,21,10,13,10,20260722,71.00,20260723,70.86,涨停热点
20260721,603516,淳中科技,2.34,66.0,C,-5,22,6,13,10,20260722,90.52,20260723,92.64,涨停热点
20260721,603629,利通电子,9.95,70.0,D,-5,25,11,9,10,20260722,114.00,20260723,125.34,涨停热点
20260721,603773,沃格光电,-0.09,66.0,C,-5,19,10,12,10,20260722,84.90,20260723,84.82,涨停热点
20260721,603986,兆易创新,0.01,72.0,D,-5,21,17,9,10,20260722,479.94,20260723,480.00,涨停热点
20260721,605111,新洁能,3.21,79.0,D,-5,25,17,12,10,20260722,54.89,20260723,56.65,涨停热点
