选股日,代码,名称,收益率%,总分,分组,趋势分,资金分,板块分,筹码分,大盘分,买入日,买入价,卖出日,卖出价,来源
20260513,002409,雅克科技,1.84,61.0,B,4,21,11,-2,10,20260514,107.00,20260515,108.97,涨停热点
20260513,002825,纳尔股份,-4.18,60.0,B,10,25,6,9,10,20260514,11.24,20260515,10.77,涨停热点
20260514,002165,红 宝 丽,2.97,62.0,B,10,22,10,10,10,20260515,9.42,20260518,9.70,涨停热点
20260514,002971,和远气体,11.44,61.0,B,4,22,10,-2,10,20260515,36.79,20260518,41.00,涨停热点
20260515,002971,和远气体,-7.49,61.0,B,4,20,10,2,10,20260518,41.00,20260519,37.93,涨停热点
20260518,000021,深科技,3.65,65.0,C,4,25,11,-3,10,20260519,37.03,20260520,38.38,涨停热点
20260518,000571,新大洲A,0.85,61.0,B,10,25,3,5,10,20260519,5.91,20260520,5.96,涨停热点
20260518,002552,宝鼎科技,0.36,60.0,B,1,22,10,2,10,20260519,38.39,20260520,38.53,涨停热点
20260519,000636,风华高科,4.09,63.0,B,4,22,12,-3,10,20260520,33.50,20260521,34.87,涨停热点
20260519,603989,艾华集团,3.39,64.0,B,1,24,12,2,10,20260520,24.76,20260521,25.60,涨停热点
20260520,603005,晶方科技,-10.75,62.0,B,4,25,15,-6,10,20260521,40.45,20260522,36.10,涨停热点
20260520,603986,兆易创新,0.67,62.0,B,1,21,15,-6,10,20260521,445.02,20260522,448.00,涨停热点
20260522,002463,沪电股份,1.55,64.0,B,5,22,12,-2,10,20260525,121.02,20260526,122.90,涨停热点
20260522,600888,新疆众和,0.93,60.0,B,4,23,6,2,10,20260525,10.74,20260526,10.84,涨停热点
20260522,603186,华正新材,1.60,60.0,B,1,22,12,-3,10,20260525,124.00,20260526,125.99,涨停热点
20260525,002185,华天科技,5.78,71.0,D,4,25,17,-3,10,20260526,18.67,20260527,19.75,涨停热点
20260525,002409,雅克科技,-0.43,63.0,B,1,20,17,-2,10,20260526,125.54,20260527,125.00,涨停热点
20260525,002552,宝鼎科技,7.60,60.0,B,1,24,10,-3,10,20260526,44.61,20260527,48.00,涨停热点
20260525,003036,泰坦股份,3.69,66.0,C,4,25,10,2,10,20260526,57.98,20260527,60.12,涨停热点
20260525,600584,长电科技,4.22,64.0,B,1,21,17,-2,10,20260526,83.00,20260527,86.50,涨停热点
20260528,600206,有研新材,-8.06,65.0,C,8,19,11,2,10,20260529,31.00,20260601,28.50,涨停热点
20260528,600360,华微电子,-4.74,61.0,B,5,25,11,2,10,20260529,12.65,20260601,12.05,涨停热点
20260529,000608,阳光股份,8.59,63.0,B,4,19,13,2,10,20260601,4.54,20260602,4.93,涨停热点
20260529,600857,宁波中百,3.75,65.0,C,4,22,12,2,10,20260601,14.94,20260602,15.50,涨停热点
20260602,002137,实益达,0.49,62.0,B,11,25,6,2,10,20260603,10.16,20260604,10.21,涨停热点
20260604,003043,华亚智能,0.77,63.0,B,5,18,15,-2,10,20260605,67.41,20260608,67.93,涨停热点
20260605,001256,炜冈科技,0.49,60.0,B,1,18,13,10,10,20260608,24.73,20260609,24.85,涨停热点
20260610,002119,康强电子,18.28,61.0,B,4,22,17,-3,10,20260611,29.00,20260612,34.30,涨停热点
20260610,002409,雅克科技,10.93,66.0,C,7,17,17,-3,10,20260611,126.22,20260612,140.01,涨停热点
20260610,003043,华亚智能,3.10,61.0,B,1,23,17,2,10,20260611,80.99,20260612,83.50,涨停热点
20260610,600206,有研新材,10.08,66.0,C,3,21,17,-2,10,20260611,32.43,20260612,35.70,涨停热点
20260611,002119,康强电子,-6.68,63.0,B,4,24,17,-6,10,20260612,34.30,20260615,32.01,涨停热点
20260612,000759,中百集团,0.85,68.0,C,14,21,3,5,10,20260615,5.88,20260616,5.93,涨停热点
20260615,002440,闰土股份,-3.52,62.0,B,7,22,6,2,10,20260616,9.93,20260617,9.58,涨停热点
20260618,600671,天目药业,4.71,69.0,C,10,18,6,10,10,20260622,17.84,20260623,18.68,涨停热点
20260622,002440,闰土股份,-1.43,60.0,B,4,25,12,1,10,20260623,11.20,20260624,11.04,涨停热点
20260622,600470,六国化工,4.71,76.0,D,11,23,10,14,10,20260623,6.16,20260624,6.45,涨停热点
20260623,603669,灵康药业,-4.40,66.0,C,4,21,15,1,10,20260624,5.68,20260625,5.43,涨停热点
20260629,000566,海南海药,5.60,79.0,D,4,25,12,13,10,20260630,4.64,20260701,4.90,涨停热点
20260629,002693,双成药业,3.88,62.0,B,1,25,12,6,10,20260630,9.02,20260701,9.37,涨停热点
20260629,002728,特一药业,1.79,72.0,D,7,16,10,14,10,20260630,8.95,20260701,9.11,涨停热点
20260630,001358,兴欣新材,5.29,61.0,B,8,22,12,6,10,20260701,25.72,20260702,27.08,涨停热点
20260630,002587,奥拓电子,-4.51,62.0,B,14,0,12,11,10,20260701,7.76,20260702,7.41,涨停热点
20260630,603823,百合花,-1.32,62.0,B,4,21,12,-3,10,20260701,57.00,20260702,56.25,涨停热点
20260630,603991,领先股份,7.40,61.0,B,4,22,17,-2,10,20260701,139.66,20260702,150.00,涨停热点
20260701,002440,闰土股份,-3.42,62.0,B,8,21,15,-3,10,20260702,11.40,20260703,11.01,涨停热点
20260701,002458,益生股份,4.23,64.0,B,5,22,10,2,10,20260702,9.21,20260703,9.60,涨停热点
20260701,002826,易明医药,19.94,62.0,B,8,15,15,6,10,20260702,16.50,20260703,19.79,涨停热点
20260706,603118,共进股份,2.94,61.0,B,7,21,6,2,10,20260707,12.93,20260708,13.31,涨停热点
20260707,001206,依依股份,0.76,60.0,B,5,25,0,5,10,20260708,19.82,20260709,19.97,涨停热点
20260708,000759,中百集团,0.46,64.0,B,14,25,0,7,10,20260709,6.48,20260710,6.51,涨停热点
20260713,600664,哈药股份,13.68,61.0,B,4,21,9,2,10,20260714,3.80,20260715,4.32,涨停热点
20260715,002365,永安药业,12.45,64.0,B,4,25,15,2,10,20260716,12.45,20260717,14.00,涨停热点
20260717,600644,乐山电力,8.24,61.0,B,7,22,12,2,10,20260720,9.10,20260721,9.85,涨停热点
